id,titulo,descripcion,fecha,categoria,autores_id
65,"El Renacimiento en la Pintura","Un análisis detallado de las técnicas y estilos que surgieron durante el Renacimiento, con un enfoque en las obras de artistas italianos.",2024-10-08,arte,15
66,"Escultura Moderna: Formas y Materiales","Exploración de las nuevas tendencias en la escultura contemporánea, desde el uso de materiales reciclados hasta las técnicas más innovadoras.",2024-09-15,arte,18
67,Impresionismo,"Un recorrido por el impacto del impresionismo",2024-06-22,arte,12
68,Impresionismoadfasdfadsfadsfasdfasdfasfasdf,"Un recorrido por el impacto del impresionismo",2024-06-22,arte,12
69,"El Renacimiento en la Pintura","Un análisis detallado de las técnicas y estilos que surgieron durante el Renacimiento, con un enfoque en las obras de artistas italianos.",2024-10-08,arte,15
70,"Escultura Moderna: Formas y Materiales","Exploración de las nuevas tendencias en la escultura contemporánea, desde el uso de materiales reciclados hasta las técnicas más innovadoras.",2024-09-15,arte,18
71,"El Arte del Renacimiento","Exploración de las obras maestras de artistas como Leonardo da Vinci y Michelangelo.",2024-10-01,arte,14
72,"Naturaleza y Espiritualidad","Un análisis sobre cómo la naturaleza influye en la espiritualidad humana.",2024-09-05,naturaleza,17
73,"El Existencialismo y el Arte","Cómo el existencialismo ha influenciado a los artistas del siglo XX.",2024-07-19,filosofia,12
74,"La Influencia de la Fotografía en el Arte","Un estudio sobre el impacto de la fotografía en las artes visuales.",2024-06-12,arte,15
75,"Filosofía del Arte: ¿Qué es el Arte?","Un análisis de las distintas teorías sobre la definición del arte.",2024-08-25,filosofia,19
76,"Belleza Natural: Paisajes del Mundo","Un viaje a través de los paisajes más impresionantes de la Tierra.",2024-09-30,naturaleza,16
77,"Arte Abstrato: Conceptos y Técnicas","Una guía sobre el arte abstracto y sus técnicas clave.",2024-10-15,arte,18
78,"Arte y Tecnología: Una Nueva Era","Análisis sobre cómo la tecnología está transformando la creación artística.",2024-10-12,arte,14
79,"La Naturaleza en la Poesía","Exploración de cómo la naturaleza ha inspirado a poetas a lo largo de la historia.",2024-09-18,naturaleza,16
80,"El Concepto de Belleza en la Filosofía","Un análisis sobre las distintas definiciones de belleza en la filosofía.",2024-07-10,filosofia,13
81,"Street Art: Expresión Urbana","Un recorrido por el arte urbano y su impacto en las ciudades.",2024-08-15,arte,19
82,"Filosofía de la Libertad","Un estudio sobre las diferentes interpretaciones del concepto de libertad.",2024-05-30,filosofia,12
83,"El Bosque: Un Ecosistema Vital","Reflexiones sobre la importancia de los bosques en nuestro planeta.",2024-06-20,naturaleza,15
84,"La Influencia de la Música en el Arte Visual","Análisis de cómo la música ha inspirado a los artistas visuales.",2024-07-15,arte,20
85,"Filosofía de la Educación","Exploración de los fundamentos filosóficos detrás de los sistemas educativos.",2024-09-02,filosofia,11
